"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
2342,"rmsq.kd",1,0,2544,611771,611771,32,32,512,0,80,0,128,32,"0x0","0x751020995e80",255614345782769,255626786862625,255626786885084,255614362901001,22459
2343,"gemm_q4k.kd",1,0,2545,611771,611771,786432,64,512,0,40,0,128,32,"0x0","0x751020996300",255614345785799,255626786887537,255626787048036,255614363053587,160499
2344,"gemm_q6k.kd",1,0,2546,611771,611771,65536,64,512,0,32,0,128,32,"0x0","0x751020996340",255614345789199,255626787055075,255626787084769,255614363083957,29694
2345,"gemm_q8_0.kd",1,0,2547,611771,611771,65536,64,512,0,32,0,128,32,"0x0","0x751020995fc0",255614345792249,255626787087215,255626787123569,255614363177745,36354
2346,"qk_norm_rope.kd",1,0,2548,611771,611771,896,32,0,0,40,0,128,32,"0x0","0x751020996800",255614345794959,255626787126039,255626787132159,255614363192604,6120
2347,"copy_rows.kd",1,0,2549,611771,611771,1024,64,0,0,8,0,128,32,"0x0","0x751020996740",255614345797089,255626787134358,255626787135588,255614363207024,1230
2348,"copy_rows.kd",1,0,2550,611771,611771,1024,64,0,0,8,0,128,32,"0x0","0x751020996740",255614345799469,255626787137709,255626787138883,255614363221364,1174
2349,"qsa_flash.kd",1,0,2551,611771,611771,6144,256,1536,0,24,0,128,32,"0x0","0x751020996c80",255614345801629,255626787140934,255626787200282,255614363235714,59348
2350,"quant_q8.kd",1,0,2552,611771,611771,192,64,0,0,48,0,128,32,"0x0","0x751020995e40",255614345804009,255626787202751,255626787205006,255614363250153,2255
2351,"gemm_xs.kd",1,0,2553,611771,611771,327680,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614345806709,255626787207232,255626787286540,255614363277493,79308
2352,"axpy_scaled.kd",1,0,2554,611771,611771,5120,64,0,0,8,0,128,32,"0x0","0x751020996700",255614345808568,255626787289184,255626787290406,255614363292392,1222
2353,"rmsq.kd",1,0,2555,611771,611771,32,32,512,0,80,0,128,32,"0x0","0x751020995e80",255614345810558,255626787292565,255626787310129,255614363307632,17564
